,src,dest,src_EQ,dest_EQ,energy,Ea
156,32,165,-678.46648949554,-678.465969811082,-678.465828258984,0.0006612365560840772
157,165,32,-678.465969811082,-678.46648949554,-678.465828258984,0.00014155209805721825
158,165,166,-678.465969811082,-678.467600280482,-678.465887033005,8.277807705781015e-05
159,166,165,-678.467600280482,-678.465969811082,-678.465887033005,0.001713247477027835
160,87,167,-678.446728460242,-678.461621723515,-678.433541758252,0.013186701989980065
161,167,87,-678.461621723515,-678.446728460242,-678.433541758252,0.028079965263032136
162,69,34,-678.426834370322,-678.4265212667871,-678.420414875838,0.0064194944840210155
163,34,69,-678.4265212667871,-678.426834370322,-678.420414875838,0.006106390949071283
164,4,57,-678.447035884479,-678.4463998424279,-678.4427349467769,0.0043009377020553075
165,57,4,-678.4463998424279,-678.447035884479,-678.4427349467769,0.0036648956510134667
166,39,168,-678.42726252528,-678.428000357355,-678.420451588226,0.006810937053955968
167,168,39,-678.428000357355,-678.42726252528,-678.420451588226,0.007548769129016364
168,168,169,-678.428000357355,-678.423832505648,-678.3479945098179,0.08000584753710882
169,169,168,-678.423832505648,-678.428000357355,-678.3479945098179,0.07583799583005657
170,56,23,-678.428539468591,-678.427477106368,-678.425935893321,0.00260357526997268
171,23,56,-678.427477106368,-678.428539468591,-678.425935893321,0.0015412130469485419
172,66,98,-678.447407370703,-678.447594555073,-678.445995136087,0.0014122346159410881
173,98,66,-678.447594555073,-678.447407370703,-678.445995136087,0.0015994189859611652
174,98,17,-678.447594555073,-678.4469650122161,-678.447051815704,0.0005427393690524696
175,17,98,-678.4469650122161,-678.447594555073,-678.447051815704,-8.68034878749313e-05
176,17,83,-678.4469650122161,-678.447039017263,-678.446476518282,0.0004884939340854544
177,83,17,-678.447039017263,-678.4469650122161,-678.446476518282,0.000562498981025783
178,28,170,-678.440789325468,-678.385998321447,-678.367612363665,0.07317696180302846
179,170,28,-678.385998321447,-678.440789325468,-678.367612363665,0.018385957782015794
180,54,171,-678.467223189524,-678.467684652121,-678.455260334864,0.0119628546600552
181,171,54,-678.467684652121,-678.467223189524,-678.455260334864,0.012424317257000439
182,23,172,-678.427477106368,-678.4394358621411,-678.362610581212,0.06486652515593505
183,172,23,-678.4394358621411,-678.427477106368,-678.362610581212,0.07682528092902885
184,79,84,-678.466015791456,-678.466721932627,-678.463589027475,0.0024267639810204855
185,84,79,-678.466721932627,-678.466015791456,-678.463589027475,0.0031329051520287976
186,84,6,-678.466721932627,-678.46794828317,-678.465537483056,0.0011844495710420233
187,6,84,-678.46794828317,-678.466721932627,-678.465537483056,0.002410800114034828
188,52,123,-678.446828647148,-678.387041497946,-678.373461202974,0.07336744417398222
189,123,52,-678.387041497946,-678.446828647148,-678.373461202974,0.01358029497203006
190,59,173,-678.4406414215371,-678.386176190725,-678.363587317173,0.07705410436403781
191,173,59,-678.386176190725,-678.4406414215371,-678.363587317173,0.02258887355196748
192,111,174,-678.4474586319429,-678.439937373854,-678.423834137481,0.023624494461955692
193,174,111,-678.439937373854,-678.4474586319429,-678.423834137481,0.01610323637305555
194,93,175,-678.4260673555771,-678.447359676875,-678.347430145394,0.07863721018304659
195,175,93,-678.447359676875,-678.4260673555771,-678.347430145394,0.09992953148093875
196,84,176,-678.466721932627,-678.465647322682,-678.466166966323,0.0005549663039801089
197,176,84,-678.465647322682,-678.466721932627,-678.466166966323,-0.0005196436410415117
198,176,177,-678.465647322682,-678.466149674716,-678.4492017996321,0.016445523049924304
199,177,176,-678.466149674716,-678.465647322682,-678.4492017996321,0.01694787508392892
200,177,32,-678.466149674716,-678.46648949554,-678.465566576312,0.0005830984040358089
201,32,177,-678.46648949554,-678.466149674716,-678.465566576312,0.0009229192280599818
202,32,54,-678.46648949554,-678.467223189524,-678.465393001387,0.0010964941529891803
203,54,32,-678.467223189524,-678.46648949554,-678.465393001387,0.0018301881369779949
204,0,178,-678.467657663344,-678.46562220109,-678.464613012642,0.0030446507020087665
205,178,0,-678.46562220109,-678.467657663344,-678.464613012642,0.0010091884480516455
206,178,152,-678.46562220109,-678.46613393243,-678.466728506363,-0.001106305272969621
207,152,178,-678.46613393243,-678.46562220109,-678.466728506363,-0.0005945739329717981
208,64,50,-678.446718384524,-678.446424027647,-678.4460638459971,0.0006545385269873805
209,50,64,-678.446424027647,-678.446718384524,-678.4460638459971,0.00036018164996676205
210,18,179,-678.468035069086,-678.468069953953,-678.463769398272,0.004265670813992983
211,179,18,-678.468069953953,-678.468035069086,-678.463769398272,0.004300555680970319
212,179,18,-678.468069953953,-678.468035069086,-678.463732492894,0.004337461058980807
213,18,179,-678.468035069086,-678.468069953953,-678.463732492894,0.004302576192003471
214,18,29,-678.468035069086,-678.467604903473,-678.464886256507,0.0031488125789564947
